"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/date.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/env.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 16, 7, 47
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/errors.ts", "TypeScript", 194, 0, 0, 0, 0, 0, 0, 17, 36, 247
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/formatting.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 16, 32, 201
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 8, 6, 30
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/storage.ts", "TypeScript", 199, 0, 0, 0, 0, 0, 0, 8, 36, 243
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/validation.ts", "TypeScript", 165, 0, 0, 0, 0, 0, 0, 18, 28, 211
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/middleware.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 13, 18, 98
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/tailwind.config.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 3, 1, 87
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 4965, 311, 27, 110, 12822, 5973, 86, 564, 1816, 26674
